"segment_code","epoch","year","annual_segment_total","denominator","annual_segment_%","series_delta","series_shift","series_delta_%"
"GF02",1136073600000.0,2006,36407.04010385301,603188.4740736743,6.035765215799897,962.7301791703503,35444.30992468266,2.716176958208814
"GF02",1167609600000.0,2007,35273.42366821197,621464.4474668961,5.675855443056684,-1133.6164356410372,36407.04010385301,-3.1137286426123527
"GF02",1199145600000.0,2008,38409.26727413127,669750.1009420848,5.734865469987086,3135.8436059192973,35273.42366821197,8.890102745385857
"GF02",1230768000000.0,2009,39682.11446843959,679475.8256400658,5.8401068840174055,1272.8471943083205,38409.26727413127,3.3139064726850074
"GF02",1262304000000.0,2010,40667.0,702234.0,5.791089579826667,984.8855315604087,39682.11446843959,2.4819381344805063
"GF02",1293840000000.0,2011,39997.81754976199,686730.057499068,5.8243871974129044,-669.1824502380114,40667.0,-1.645517127494065
"GF02",1325376000000.0,2012,39042.16486933841,706334.1337588404,5.527435671496,-955.6526804235764,39997.81754976199,-2.3892620621978486
"GF02",1356998400000.0,2013,37129.84242636979,680792.7982464001,5.453912338968566,-1912.3224429686234,39042.16486933841,-4.898095301243035
"GF02",1388534400000.0,2014,36560.45825421081,695392.8783817684,5.257525550058803,-569.3841721589779,37129.84242636979,-1.5334947173236548
"GF02",1420070400000.0,2015,35380.926777910405,695609.1502945537,5.086322795341098,-1179.5314763004062,36560.45825421081,-3.2262491572149674
"GF02",1451606400000.0,2016,34321.160231160895,689679.7248580637,4.976391068799971,-1059.7665467495099,35380.926777910405,-2.99530465496783
"GF02",1483228800000.0,2017,34625.80671061822,698917.1762007198,4.954207435399205,304.64647945732577,34321.160231160895,0.8876345595704276
"GF02",1514764800000.0,2018,34737.31148584228,707433.189996761,4.910331035783227,111.50477522405708,34625.80671061822,0.3220279491419429
"GF02",1546300800000.0,2019,37881.524491550976,715007.3288338899,5.298061007756689,3144.213005708698,34737.31148584228,9.051399982379667
"GF02",1577836800000.0,2020,36712.44163295793,837797.0563308417,4.382020843298402,-1169.082858593043,37881.524491550976,-3.0861557824944272
"GF02",1609459200000.0,2021,39733.94945189308,837884.5692343368,4.742174627729708,3021.507818935148,36712.44163295793,8.230201219367125
"GF03",788918400000.0,1995,14442.18288940448,423307.088073869,3.4117507824211657,"",39733.94945189308,""
"GF03",820454400000.0,1996,14123.641459791552,414341.2785615329,3.4086976583227586,-318.54142961292746,14442.18288940448,-2.2056321544482427
"GF03",852076800000.0,1997,14132.853396630067,421170.16571296676,3.355615983080293,9.211936838515612,14123.641459791552,0.06522352514215954
"GF03",883612800000.0,1998,14156.115327204263,426057.95400142495,3.3225797557007746,23.261930574195503,14132.853396630067,0.16459472069343217
"GF03",915148800000.0,1999,15862.647160443037,433180.5043689994,3.661902371056533,1706.5318332387742,14156.115327204263,12.055085691194371
"GF03",946684800000.0,2000,17204.011237624254,450173.74443648465,3.821638078684436,1341.364077181217,15862.647160443037,8.456117466485672
"GF03",978307200000.0,2001,19268.978256146867,472901.52249447966,4.07462808630983,2064.967018522613,17204.011237624254,12.002823004478401
"GF03",1009843200000.0,2002,23039.384682485685,501423.0315539717,4.594799846166579,3770.4064263388173,19268.978256146867,19.567235876329068
"GF03",1041379200000.0,2003,23684.269846205734,537273.6255873066,4.408232363968341,644.8851637200496,23039.384682485685,2.7990554982585323
"GF03",1072915200000.0,2004,25864.408588441143,564143.7827360097,4.584719247104485,2180.138742235409,23684.269846205734,9.205007189971159
"GF03",1104537600000.0,2005,26600.68326632607,595271.209238224,4.468666190049288,736.274677884925,25864.408588441143,2.8466712291808123
"GF03",1136073600000.0,2006,26392.098390505515,603188.4740736743,4.3754314820150135,-208.58487582055386,26600.68326632607,-0.7841335266925359
"GF03",1167609600000.0,2007,26851.338347722285,621464.4474668961,4.320655583303113,459.23995721677056,26392.098390505515,1.7400661001702724
"GF03",1199145600000.0,2008,28219.43314285714,669750.1009420848,4.213427232510019,1368.0947951348535,26851.338347722285,5.095071155925845
"GF03",1230768000000.0,2009,28772.119498281212,679475.8256400658,4.2344581532651135,552.6863554240736,28219.43314285714,1.958531032945177
"GF03",1262304000000.0,2010,28489.0,702234.0,4.056909804993777,-283.11949828121215,28772.119498281212,-0.9840064034841963
"GF03",1293840000000.0,2011,26581.980831947436,686730.057499068,3.870804916964554,-1907.019168052564,28489.0,-6.693878928893833
"GF03",1325376000000.0,2012,27361.358993328988,706334.1337588404,3.873713259151485,779.3781613815518,26581.980831947436,2.9319792468018773
"GF03",1356998400000.0,2013,28237.68292584143,680792.7982464001,4.147764635374615,876.3239325124414,27361.358993328988,3.202779265189639
"GF03",1388534400000.0,2014,28315.82079915463,695392.8783817684,4.071916995331859,78.13787331320054,28237.68292584143,0.276714890235181
"GF03",1420070400000.0,2015,28966.04465712416,695609.1502945537,4.164126455906822,650.2238579695295,28315.82079915463,2.2963270695262414
"GF03",1451606400000.0,2016,28845.152858862173,689679.7248580637,4.182398266789489,-120.89179826198597,28966.04465712416,-0.41735694221631603
"GF03",1483228800000.0,2017,28995.318388876127,698917.1762007198,4.1486057828043785,150.16553001395368,28845.152858862173,0.5205919023854919
"GF03",1514764800000.0,2018,29688.3295758842,707433.189996761,4.196626620814911,693.0111870080727,28995.318388876127,2.390079590482932
"GF03",1546300800000.0,2019,29481.170095044505,715007.3288338899,4.123198309467056,-207.15948083969488,29688.3295758842,-0.6977808579973807
"GF03",1577836800000.0,2020,29703.172874508833,837797.0563308417,3.5453899784029805,222.00277946432834,29481.170095044505,0.7530324568143407
"GF03",1609459200000.0,2021,33107.83927607724,837884.5692343368,3.9513604250202805,3404.6664015684073,29703.172874508833,11.462298711159848
"GF04",788918400000.0,1995,22157.297741867234,423307.088073869,5.234331851773927,"",33107.83927607724,""
"GF04",820454400000.0,1996,18688.134723446692,414341.2785615329,4.510324143499828,-3469.1630184205424,22157.297741867234,-15.656977032291257
"GF04",852076800000.0,1997,18728.48299015065,421170.16571296676,4.446773421960369,40.34826670395705,18688.134723446692,0.21590312410010032
"GF04",883612800000.0,1998,17121.7855921566,426057.95400142495,4.018651789352426,-1606.6973979940485,18728.48299015065,-8.578897708047226
"GF04",915148800000.0,1999,19347.64217184006,433180.5043689994,4.466415726631828,2225.856579683459,17121.7855921566,13.00014281631416
"GF04",946684800000.0,2000,20920.70769962134,450173.74443648465,4.647251857348837,1573.0655277812803,19347.64217184006,8.130528329032424
"GF04",978307200000.0,2001,27196.144836888674,472901.52249447966,5.750910822497118,6275.437137267334,20920.70769962134,29.996294711296585
"GF04",1009843200000.0,2002,29837.57150673982,501423.0315539717,5.950578579182833,2641.4266698511456,27196.144836888674,9.712504054134657
"GF04",1041379200000.0,2003,31233.37787348987,537273.6255873066,5.813309342953122,1395.80636675005,29837.57150673982,4.678015992135152
"GF04",1072915200000.0,2004,33831.78761286006,564143.7827360097,5.997015060377188,2598.4097393701923,31233.37787348987,8.319336287912872
"GF04",1104537600000.0,2005,34329.708983654906,595271.209238224,5.767070278367244,497.9213707948438,33831.78761286006,1.4717560197900246
"GF04",1136073600000.0,2006,36734.93298980786,603188.4740736743,6.090125154699325,2405.224006152952,34329.708983654906,7.00624641851211
"GF04",1167609600000.0,2007,39008.621178136185,621464.4474668961,6.276887010533949,2273.6881883283277,36734.93298980786,6.1894442245455155
"GF04",1199145600000.0,2008,69241.26640926639,669750.1009420848,10.33837341896181,30232.645231130206,39008.621178136185,77.50247078221571
"GF04",1230768000000.0,2009,52070.98380327732,679475.8256400658,7.663404912783539,-17170.282605989072,69241.26640926639,-24.797759336896263
"GF04",1262304000000.0,2010,40248.0,702234.0,5.731422859046984,-11822.983803277319,52070.98380327732,-22.705512628576813
"GF04",1293840000000.0,2011,36796.85628923095,686730.057499068,5.35827082088669,-3451.143710769051,40248.0,-8.574696160726125
"GF04",1325376000000.0,2012,48047.14466569695,706334.1337588404,6.8023251842592405,11250.288376466,36796.85628923095,30.574047652430938
"GF04",1356998400000.0,2013,38849.71735472477,680792.7982464001,5.706540588383818,-9197.427310972176,48047.14466569695,-19.14250550155718
"GF04",1388534400000.0,2014,41900.215529140325,695392.8783817684,6.025401874497951,3050.498174415552,38849.71735472477,7.852047278909123
"GF04",1420070400000.0,2015,44939.36039986138,695609.1502945537,6.460432612312811,3039.1448707210584,41900.215529140325,7.2532917369062835
"GF04",1451606400000.0,2016,44912.34926176621,689679.7248580637,6.5120588068627345,-27.01113809517119,44939.36039986138,-0.06010574662129483
"GF04",1483228800000.0,2017,49650.26389265981,698917.1762007198,7.103883776695295,4737.914630893596,44912.34926176621,10.549246941591123
"GF04",1514764800000.0,2018,50036.0864996419,707433.189996761,7.072906276827497,385.8226069820885,49650.26389265981,0.7770806773881572
"GF04",1546300800000.0,2019,54429.55227447871,715007.3288338899,7.612446765160886,4393.465774836812,50036.0864996419,8.780594331389716
"GF04",1577836800000.0,2020,134787.15339936563,837797.0563308417,16.088282046450505,80357.60112488692,54429.55227447871,147.63597672025224
"GF04",1609459200000.0,2021,108575.2515368075,837884.5692343368,12.958258872821123,-26211.901862558138,134787.15339936563,-19.446884366564195
"GF05",788918400000.0,1995,886.4589035026646,423307.088073869,0.20941272387765297,"",108575.2515368075,""
"GF05",820454400000.0,1996,849.7020618787924,414341.2785615329,0.2050729931685059,-36.75684162387222,886.4589035026646,-4.146480054364047
"GF05",852076800000.0,1997,829.7848645929865,421170.16571296676,0.19701890877961578,-19.917197285805855,849.7020618787924,-2.344021296331394
"GF05",883612800000.0,1998,1151.2857278556164,426057.95400142495,0.27021810461300905,321.5008632626299,829.7848645929865,38.74508646531262
"GF05",915148800000.0,1999,2115.705981808239,433180.5043689994,0.48841209622074805,964.4202539526225,1151.2857278556164,83.76897503532426
"GF05",946684800000.0,2000,2831.3453225534895,450173.74443648465,0.6289450145738044,715.6393407452506,2115.705981808239,33.82508471870048
"GF05",978307200000.0,2001,3161.3849725526816,472901.52249447966,0.6685080978121793,330.0396499991921,2831.3453225534895,11.656637124769402
"GF05",1009843200000.0,2002,3777.448513656471,501423.0315539717,0.7533456335162134,616.0635411037892,3161.3849725526816,19.487140808616694
"GF05",1041379200000.0,2003,4213.261837022323,537273.6255873066,0.7841929393829272,435.81332336585183,3777.448513656471,11.537240594816103
"GF05",1072915200000.0,2004,3819.0071510060393,564143.7827360097,0.6769563483416317,-394.25468601628336,4213.261837022323,-9.357469373299587
"GF05",1104537600000.0,2005,14275.898921446418,595271.209238224,2.398217602311972,10456.89177044038,3819.0071510060393,273.81178816818203
"GF05",1136073600000.0,2006,6233.2437620016135,603188.4740736743,1.0333824384781392,-8042.655159444805,14275.898921446418,-56.33729409054916
"GF05",1167609600000.0,2007,7322.995175304665,621464.4474668961,1.1783449890260607,1089.7514133030518,6233.2437620016135,17.482894218677433
"GF05",1199145600000.0,2008,6196.576617760617,669750.1009420848,0.9252072689566423,-1126.4185575440479,7322.995175304665,-15.381937726009555
